F-volt,V-volt,P-volt,Object,Object Name
0,4.418377322,4.995112414,S,SR
0,4.398826979,4.828934506,S,SR
4.838709677,5,4.990224829,S,SR
4.838709677,4.477028348,4.990224829,S,SR
4.843597263,4.134897361,4.990224829,S,SR
4.843597263,3.934506354,4.985337243,S,SR
4.843597263,3.792766373,4.985337243,S,SR
4.838709677,3.655913978,4.985337243,S,SR
0,4.516129032,4.985337243,S,SR
0.004887586,4.45259042,4.921798631,S,SR
0.004887586,4.349951124,4.975562072,S,SR
0,4.335288368,4.745845552,S,SR
0,4.257086999,4.85826002,S,SR
0,4.242424242,4.618768328,S,SR
0,4.188660802,4.560117302,S,SR
4.828934506,5,4.985337243,S,SR
4.848484848,4.58455523,4.990224829,S,SR
4.848484848,4.144672532,4.985337243,S,SR
4.848484848,3.910068426,4.990224829,S,SR
4.848484848,3.739002933,4.985337243,S,SR
4.838709677,3.631476051,4.990224829,S,SR
0,4.638318671,4.824046921,S,SR
0,4.491691105,5,S,SR
0.004887586,4.608993157,4.530791789,S,SR
4.848484848,4.91202346,4.990224829,S,SR
4.848484848,4.384164223,4.985337243,S,SR
4.843597263,4.08113392,4.985337243,S,SR
4.848484848,3.870967742,4.985337243,S,SR
4.848484848,3.768328446,4.990224829,S,SR
4.843597263,3.62170088,4.990224829,S,SR
0,4.58455523,5,S,SR
0.004887586,4.408602151,4.81427175,S,SR
0,4.330400782,4.965786901,S,SR
4.848484848,5,4.990224829,S,SR
4.848484848,4.437927664,4.990224829,S,SR
4.848484848,4.130009775,4.990224829,S,SR
4.843597263,3.919843597,4.985337243,S,SR
4.848484848,3.753665689,4.990224829,S,SR
0,4.340175953,4.897360704,S,SR
0.004887586,4.2228739,4.872922776,S,SR
0,4.164222874,5,S,SR
4.848484848,5,4.990224829,S,SR
4.848484848,4.618768328,4.985337243,S,SR
4.853372434,4.291300098,4.995112414,S,SR
4.848484848,4.027370479,4.990224829,S,SR
4.843597263,3.846529814,4.985337243,S,SR
0,4.35483871,4.804496579,S,SR
0,4.2228739,5,S,SR
0,4.144672532,4.794721408,S,SR
0,3.176930596,2.913000978,S,SR
4.848484848,4.975562072,4.990224829,S,SR
4.848484848,4.506353861,4.990224829,S,SR
4.848484848,4.213098729,4.990224829,S,SR
4.848484848,4.056695992,4.985337243,S,SR
4.848484848,3.870967742,4.990224829,S,SR
0,4.149560117,4.828934506,S,SR
4.843597263,5,4.985337243,S,SR
4.848484848,4.638318671,4.990224829,S,SR
4.848484848,4.35483871,4.985337243,S,SR
4.848484848,4.12512219,4.990224829,S,SR
4.848484848,3.988269795,4.990224829,S,SR
4.848484848,3.885630499,4.985337243,S,SR
4.843597263,3.787878788,4.990224829,S,SR
4.848484848,3.670576735,4.985337243,S,SR
4.843597263,3.631476051,4.985337243,S,SR
4.848484848,3.587487781,4.990224829,S,SR
0,4.051808407,5,S,SR
0.004887586,4.066471163,4.736070381,S,SR
0,4.002932551,4.975562072,S,SR
0.004887586,3.988269795,4.648093842,S,SR
0.004887586,3.929618768,4.692082111,S,SR
0,3.900293255,4.555229717,S,SR
4.819159335,5,4.985337243,S,SR
4.848484848,4.824046921,4.990224829,S,SR
0,4.379276637,5,S,SR
0,4.237536657,5,S,SR
0,1.915933529,2.942326491,H,W
0,1.950146628,2.864125122,H,W
