F-volt,V-volt,P-volt,Object,Object type
0,4.926686217,3.044965787,F,TPU
0,4.916911046,3.455522972,F,TPU
0,4.916911046,3.572825024,F,TPU
0,4.926686217,3.685239492,F,TPU
0,4.91202346,3.71945259,F,TPU
0,4.941348974,3.714565005,F,TPU
0,4.946236559,3.748778104,F,TPU
4.667644184,5,4.027370479,F,TPU
4.799608993,5,4.692082111,F,TPU
0,3.822091887,4.951124145,F,TPU
0,3.919843597,4.868035191,F,TPU
4.633431085,2.766373412,4.032258065,F,TPU
4.789833822,4.027370479,4.701857283,F,TPU
0,4.032258065,4.946236559,F,TPU
3.963831867,2.849462366,0.078201369,F,TPU
4.799608993,3.113391984,4.995112414,F,TPU
0,4.760508309,4.975562072,F,TPU
0,4.941348974,5,F,TPU
4.789833822,3.230694037,4.995112414,F,TPU
0,5,5,F,TPU
4.711632454,2.38514174,4.995112414,F,TPU
4.81427175,3.39198436,5,F,TPU
0,5,5,F,TPU
4.745845552,3.274682307,4.995112414,F,TPU
4.369501466,3.856304985,5,F,TPU
4.056695992,1.661779081,4.535679374,F,TPU
4.809384164,3.875855327,4.995112414,F,TPU
0,4.833822092,5,F,TPU
4.467253177,2.043010753,4.535679374,F,TPU
4.81427175,3.460410557,4.995112414,F,TPU
4.819159335,3.479960899,5,F,TPU
4.819159335,3.563049853,4.995112414,F,TPU
4.824046921,3.602150538,4.995112414,F,TPU
4.819159335,3.093841642,4.501466276,F,TPU
0,5,5,F,TPU
4.745845552,3.778103617,4.618768328,F,TPU
4.799608993,3.973607038,4.711632454,F,TPU
4.799608993,3.924731183,4.711632454,F,TPU
4.804496579,3.880742913,4.711632454,F,TPU
0,4.833822092,5,F,TPU
3.582600196,4.560117302,0.938416422,F,TPU
4.775171065,5,4.066471163,F,TPU
4.780058651,4.990224829,4.281524927,F,TPU
0,3.841642229,4.897360704,F,TPU
0,3.890518084,4.872922776,F,TPU
0,3.743890518,4.936461388,F,TPU
0,3.729227761,5,F,TPU
0,3.71945259,4.848484848,F,TPU
4.77028348,2.942326491,4.995112414,F,TPU
4.81427175,3.30400782,5,F,TPU
0,4.731182796,5,F,TPU
0,4.643206256,5,F,TPU
0,4.579667644,5,F,TPU
4.799608993,3.132942326,4.995112414,F,TPU
0,4.472140762,5,F,TPU
0,4.569892473,4.926686217,F,TPU
0,4.423264907,4.848484848,F,TPU
0,4.35483871,4.951124145,F,TPU
0,4.320625611,4.985337243,F,TPU
0,4.301075269,4.872922776,F,TPU
4.799608993,2.878787879,4.995112414,F,TPU
4.81427175,3.088954057,4.995112414,F,TPU
0,4.525904203,5,F,TPU
0,4.413489736,4.897360704,F,TPU
0,4.281524927,4.819159335,F,TPU
4.789833822,2.986314761,4.990224829,F,TPU
